Index,mol_min,NAME,Source,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,ABCG2_Inhib,ABCG2_Inhib_binary,ABCB1_Inhib,ABCB1_Inhib_binary,BSEP_Inhib,BSEP_Inhib_binary,OATP1B1_Sum_Binary,OATP1B1_binary,OATP1B3_Sum_Binary,OATP1B3_binary,Transporter_binary_score,Transporter_Sum_float,Binary_Characterization,DILI
432,O[C@@H]1[C@H]2[C@@H]3N([C@@H]([C@H]4N(c5c([C@]14C3)cccc5)C)C[C@H]2[C@@H](CC)C=O)CCC,Prajmaline,Source Liew,65.621376,0,0,1,2,3,0,6,0,59,1,4,27,22,79.034012,1.3395596,0,0,23,0,0,32,0,2,2,0,0,1.6042851,-2.8863754,-0.52101845,0.58050436,3.0040169,-2.9502823,-0.44331756,0.61588854,2.9542921,-2.6236012,-0.39536959,0.71566868,3.2575953,39.900623,5,0.16129032,6,63,1,31,5,5,0.16129032,56,0,18.921921,16.713627,14.963737,15.76722,13.094919,10.811007,8.5554609,9.4915304,8,0,0.68999988,10,0,-0.84842306,-0.35663807,0.037703861,3.389535,-0.99448061,-0.31370825,0.10338967,3.3923707,-0.53346705,-0.19793816,0.14973646,3.6307907,18.992716,6.7680135,2.2825789,16.413616,5.8144717,1.9523963,3.5346854,4,1,1,0,3.1059999,-3.10379,10.622561,0,1,21,1,5,5,1,3.642,-3.642,1.8033969,-1.8033969,0.11635112,0.21654741,122.77208,26.231859,22.770269,0,10.324173,0,0,85.699707,74.260063,0,0,0,0,21.334461,0.91288036,0.49889356,0.058709119,0.087119639,0.50110644,0.028410519,331.73398,181.29424,21.334461,31.658634,182.09839,10.324173,0.5,1,3.642,-3.642,0.12328391,0.23009336,0.72223616,0.19968104,0.058709119,0.27776387,0.80031896,0.21905476,262.45529,72.562614,21.334461,100.93734,290.83002,79.602882,5,1,5,0.12328391,0.23009336,0.037037037,2.8313999,28.509541,3.1243138,62.421993,18.439579,16.417963,32.897186,0,70.572739,75.473625,69.408775,10.69498,23.862217,28.509541,16.356703,21.60013,2.7567475,146.04636,18.439579,119.69444,43.779999,0.41972107,5.9541965,3.0412791,9.2712679,363.39261,534.0885,13.566921,0,0,0,283.57471,22.058474,27.133842,368.521,1497,62,160,0.48582759,0,0.40300378,0,0.3,0,0,0,0,0,0,1.1888313,1,positive
433,SC[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@H](C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1[nH]cnc1)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@H](CC)C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N)CO)CO)CO)C)C)CS)C,Pramlintide,Source Liew,584.73334,0,0,3,5,58,0,23,0,546,57,115,277,125,930.09576,1.7034721,0,0,171,0,0,269,0,51,53,0,2,0.97194868,-2.7026258,-0.56395835,0.4831641,2.7796955,-2.8995068,-0.55720884,0.41833457,2.7272265,-2.4517853,-0.35834303,0.64878029,3.0337565,363.88467,124,0.43816254,23,552,45,283,8,158,0.55830389,484,0,208.50439,159.18372,108.37288,114.3165,130.05264,91.29615,52.405613,57.422508,41,0,0.78893101,119,0,-0.85050666,-0.43483788,0.076917611,3.4464042,-1.3710456,-0.41994536,0.054200001,3.3462305,-0.53520477,-0.24191016,0.18748792,3.6741891,263.46631,138.64717,97.079216,202.06662,106.22895,74.329872,77.492149,104,67,0,3,-20.573,-25.53071,99.860825,0,1,39,0,7,125,6,72.269997,-72.269997,35.862484,-35.862484,0.0068805153,0.010944098,712.63782,458.06256,161.2663,481.10828,662.6969,0,0,316.12756,389.43359,0,52.725979,5.6825762,609.1413,147.86136,0.64336419,0.38055286,0.19082664,0.35663584,0.61944717,0.16580918,2571.3621,1520.9724,762.68524,1425.3822,2475.7717,662.6969,0.49579832,0.98333335,72.269997,-72.269997,0.007873253,0.01369863,0.42617211,0.25024572,0.20566086,0.57382786,0.74975425,0.36816701,1703.3009,1000.1682,821.97388,2293.4434,2996.5762,1471.4694,60,1,7,0.007873253,0.01369863,1,-24.360649,1202.7017,259.44403,1238.4352,226.32295,38.778248,75.473625,0,312.67642,526.18756,671.76373,98.68808,1049.9375,254.6255,687.28778,189.26906,361.86905,790.45142,459.60852,758.7345,1768.24,0.062850103,9.1446581,6.5619164,15.891845,3996.7441,5008.6367,596.94452,0,0,352.88998,1812.2697,673.02051,1136.5294,3951.469,1507821,433,1342,0.038707167,0,0.99491465,1,0.6,1,0,0,3,1,3,4.6336217,0,negative
434,O1c2c(ccc(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)c2)C(=O)C=C1c1nn[nH]n1,Pranlukast,Source Mulliner_Liew,71.56424,0,0,3,5,7,0,23,0,59,3,10,36,24,95.042412,1.6108884,0,0,27,0,0,23,0,5,4,0,0,0.96940058,-2.5900903,-0.64670706,0.68969542,2.5515995,-2.5318875,-0.53807992,0.77108699,2.6381762,-2.3446124,-0.48492947,0.85431087,2.7988529,32.211761,9,0.22499999,23,63,3,40,5,10,0.25,37,0,24.744066,19.308615,15.333981,17.794317,17.653,11.554711,8.6509886,11.640561,0,0,0.76060754,22,0,-0.80848038,-0.44639039,0.082002454,2.569351,-0.99309987,-0.34602678,0.16445385,2.6782753,-0.52640212,-0.2212408,0.22090459,2.8521025,27.5625,13.875172,7.785306,18.890587,9.3985395,5.2301383,4.931776,9,2,1,0,4.6469998,-6.8976202,13.5187,0,1,28,0,5,9,3,5.6389999,-5.6409998,2.6864724,-2.6864724,0.0954125,0.12830675,46.75531,98.057663,8.458519,17.077532,19.809576,12.949531,0,127.25631,61.274521,18.842079,7.6138182,0,27.133842,5.1444035,0.85559231,0.5490225,0.071670011,0.14440772,0.45097747,0.072737709,385.33575,247.26497,32.278244,65.037354,203.10812,32.759106,0.5,1,5.6389999,-5.6409998,0.1003724,0.12533239,0.70207405,0.50136679,0.13716643,0.29792592,0.49863321,0.16075949,316.19528,225.80212,61.77607,134.17783,224.57098,72.401749,11,0,5,0.1003724,0.12533239,1,4.4698701,21.999775,78.823647,16.540485,20.926258,59.609077,18.868406,0,234.60483,37.736813,13.243604,13.28254,47.724434,71.86628,16.540485,22.371502,26.010927,285.96661,31.872654,0,119.09,0.33426812,6.321928,4.2451801,9.9848137,450.37311,633.06238,52.21814,0,0,5.6825762,313.69513,35.102367,80.481262,481.51199,5243,53,188,0.46215305,0,0.95707184,1,1,1,3,1,4,1,4,9.4192247,1,positive
435,Clc1ccc(cc1)/C(/NCCCC(=O)N)=C\1/C=C(F)C=CC/1=O,Progabide,Source Liew,47.129688,0,0,1,2,2,0,6,0,39,2,4,23,17,68.643822,1.7600979,0,0,17,1,1,16,0,2,2,0,0,1.95608,-2.5587003,-0.60815579,0.58006603,2.5344424,-2.6469736,-0.52593535,0.79630202,2.5481732,-2.3011727,-0.39824384,0.80071062,2.7909894,21.030312,6,0.25,6,40,5,24,5,6,0.25,29,0,16.819626,13.068477,9.6627722,11.112519,10.969234,7.4693604,5.4129543,7.1742344,0,0,0.80013096,11,0,-0.82818091,-0.41474122,0.066745386,2.5100968,-1.3703954,-0.28605577,0.18982922,2.5854139,-0.51724887,-0.21977314,0.20749949,2.7994566,19.326389,9.4746094,6.094183,14.362844,6.9386878,4.4135194,4.3330126,4,3,1,0,3.0469999,-4.6839499,8.9109373,0,1,13,1,2,6,0,4.171,-4.1719999,1.7821219,-1.7821219,0.12258501,0.20752417,60.913792,29.857702,17.639858,25.696545,12.949531,0,0,72.184372,54.091755,0,0,11.908636,27.270733,6.6511192,0.8158313,0.53924185,0.1435954,0.18416868,0.46075812,0.040573277,260.38403,172.10661,45.830486,58.780018,147.05743,12.949531,0.45454547,0.83333331,4.171,-4.1719999,0.13641812,0.20829338,0.7042923,0.5050593,0.10628344,0.2957077,0.49494073,0.18942426,224.78477,161.19676,33.921852,94.379265,157.96729,60.457413,6,1,2,0.13641812,0.20829338,1,2.8985,50.90794,10.946395,47.724434,18.439579,3.185575,12.306593,3.5006065,126.25904,37.736813,54.108757,8.8141098,47.724434,14.960114,18.01075,18.992775,35.653934,161.23911,29.385973,39.148643,72.190002,0.43892586,5.5849624,3.2777646,8.7721729,319.16403,418.40399,27.133842,0,0,23.425066,228.72375,21.408051,50.558907,334.77798,1238,32,112,0.059255362,0,0.068460107,0,0.2,0,0,0,0,0,0,0.32771546,1,positive
436,ClC[C@H](Cl)C,Propylene dichloride,Source Mulliner_Liew,13.640758,1,1,0,0,0,0,0,0,11,0,0,5,5,15.789085,1.4353714,0,0,3,2,0,6,0,0,0,0,0,2.5395389,-2.4414904,-0.057236217,0.037716091,2.4597168,-2.4605086,0.123,0.45133233,2.4856334,-2.1972826,0.1057,0.39689979,2.7156684,7.3992419,1,0.25,0,10,0,4,4,1,0.25,10,0,4.2844572,4.5522437,2.284457,2.284457,2.2700555,2.4420359,0.98559856,0.98559856,1,0,0.94870937,3,0,-0.74021262,-0.21662579,-0.12228391,1.7807499,-0.84775698,-0.037,0.23477161,1.891082,-0.50123203,-0.054299999,0.22165421,2.0384121,5,2.25,4,8.9139929,4.6974592,10.410944,8.3746233,0,0,1,0,1.86,-1.44831,2.5569139,1,1,0,1,0,1,0,0.57999998,-0.57999998,0.29250902,-0.29250902,0.16211037,0.42367899,37.570992,0,0,0,0,0,0,18.747677,0,59.163895,0,0,0,0,1,0.67466092,0,0,0.32533908,0,115.48257,77.911568,0,0,37.570992,0,0.33333334,0.5,0.57999998,-0.57999998,0.5,0.5,0.38395402,0.51231885,0.51231885,0.61604601,0.48768115,0.10372714,44.339993,59.163895,59.163895,71.14257,56.318668,11.978676,2,1,0,0.5,0.5,1,1.8525,0,0,4.7258277,19.183437,0,0,0,0,0,111.62331,2.6034999,0,0,0,4.7258277,0,0,19.183437,111.62331,0,0.90438145,3,1.5219281,4.1971598,115.48257,119.09548,0,0,0,0,111.21179,0,0,112.987,18,2,16,0.44830269,0,0.0023911051,0,0,0,0,0,0,0,0,0.45069379,1,positive
437,IC1=CN(C=C(I)C1=O)CC(OCCC)=O,Propyliodone,Source Mulliner_Liew,39.140724,0,0,1,2,2,0,0,0,27,0,2,16,10,50.354046,1.8649647,0,0,10,0,0,11,2,1,3,0,0,2.3320818,-2.5062778,-0.57226902,0.44536611,2.4915695,-2.5495155,-0.28912809,0.69305772,2.5388737,-2.2715313,-0.08653684,1.0433407,2.7545731,25.017277,4,0.25,0,27,4,16,4,5,0.3125,23,0,12.129392,13.018905,6.276021,6.8449349,7.5409126,6.9071465,2.6380105,3.0985184,0,0,1.3605897,10,0,-0.80155653,-0.40264016,-0.012472352,2.2437754,-0.93010801,-0.27864489,0.17526737,2.2742052,-0.52368754,-0.11062709,0.34545773,2.5767913,14.0625,6.6666665,4.4236112,16.467062,7.8908219,5.2780108,8.1211662,4,0,1,0,3.2260001,-5.1985502,7.9476666,0,1,6,1,1,4,0,2.418,-2.4189999,1.2813504,-1.2813504,0.21622895,0.24522875,54.81876,59.81612,0,0,8.458519,14.708499,0,102.68134,18.747677,0,0,0,27.133842,2.503756,0.81720191,0.52295977,0.10259892,0.1827981,0.47704023,0.080199182,236.0639,151.06662,29.637598,52.804615,137.8019,23.167019,0.5,1,2.418,-2.4189999,0.27253929,0.23563457,0.71977484,0.54387879,0.10259892,0.28022519,0.45612124,0.17762627,207.92029,157.10945,29.637598,80.948235,131.75906,51.310638,5,0,1,0.27253929,0.23563457,1,2.3771,0,16.557388,58.724319,39.365837,0,3.3192859,0,34.428715,18.868406,146.89003,7.7168999,58.724319,3.1243138,0,3.3192859,0,53.297119,52.798912,146.89003,46.610001,0.54356444,5,3.0641525,7.6734462,288.86853,328.54135,27.133842,0,0,0,228.23415,25.670774,27.133842,447.00998,483,21,74,0.082749806,0,0.014461538,0,0.6,1,0,0,0,0,1,0.69721133,0,negative
438,n1ccccc1,Pyridine,Source Mulliner_Liew,13.233965,1,1,0,0,1,0,6,0,11,0,1,6,5,14.834467,1.3485879,0,0,5,0,0,5,0,1,0,0,0,2.1176472,-2.0861886,-0.59254998,0.6754418,2.0341253,-1.9560506,-0.50514096,0.76273483,2.1789453,-1.7747272,-0.4656328,0.80952233,2.3455696,6.7860351,0,0,6,11,0,6,1,0,0,5,0,4.2426405,3.3339648,2.8867514,3.5355339,3,1.8497311,1.3333334,2,0,0,0.66031474,3,0,-0.75148076,-0.35548216,0.084229246,1.7273115,-0.72422856,-0.2590881,0.15552905,1.8570572,-0.4075844,-0.20424683,0.18134049,2.0212004,4.1666665,2.2222223,1.3333334,2.5140843,1.174162,0.61236203,0.49199036,1,0,1,0,0.67400002,-0.12673999,2.6029534,0,1,6,1,1,0,0,1.0700001,-1.0700001,0.40934837,-0.40934837,0.20259811,0.64311594,33.491833,21.326929,0,0,0,0,0,24.509808,12.254904,0,0,0,5.6825762,0,0.94157696,0.43640396,0.058423016,0.058423016,0.56359607,0,91.583473,42.447289,5.6825762,5.6825762,54.81876,0,0,0,1.0700001,-1.0700001,0.14953271,0.57943922,0.94157696,0.43640396,0.058423016,0.058423016,0.56359607,0,91.583473,42.447289,5.6825762,5.6825762,54.81876,0,3,0,1,0.14953271,0.57943922,1,1.0816,0,16.78553,0,0,0,0,0,87.358269,0,0,2.4237001,0,16.78553,0,0,0,87.358269,0,0,12.89,0.91829586,3.5849626,1.5219281,4.7821221,97.266052,119.79439,5.6825762,0,0,0,88.024498,0,5.6825762,79.101997,27,3,24,0.24266031,0,0.0010926676,0,0,0,0,0,1,0,0,1.243753,1,positive
439,Clc1cc2N[C@@H](NC(=O)c2cc1S(=O)(=O)N)CC,Quinethazone,Source Mulliner_Liew,36.387516,1,0,0,1,3,0,6,0,30,3,6,18,9,61.458111,2.0486038,0,0,10,1,0,12,0,3,3,0,1,2.1050277,-2.6168537,-0.51473188,0.59616417,2.5690553,-2.7509515,-0.44945571,0.64621991,2.5686824,-2.3369095,-0.36578879,0.722184,2.8529141,21.632484,2,0.10526316,6,31,1,19,4,2,0.10526316,24,0,13.499636,11.099891,5.9391575,6.585422,8.3247175,7.1879559,3.0200555,3.7483482,1,0,0.91771346,9,0,-0.82314074,-0.42019448,0.092553116,2.4918349,-1.3482763,-0.37041652,0.15285181,2.5170858,-0.5211302,-0.18682766,0.19018418,2.7684052,14.409972,5.1747918,2.9629629,13.282357,4.7457323,2.7071245,3.5019174,6,4,1,0,0.74299997,-2.84692,6.8131185,0,1,11,1,2,2,0,4.9330001,-4.9330001,1.7073392,-1.7073392,0.17621611,0.19705836,55.370117,34.896572,13.13876,8.6190128,0,12.949531,4.1846013,20.956217,48.329624,0,9.0437498,32.016521,13.703812,0.13689101,0.75136173,0.49018776,0.18100673,0.24863824,0.50981224,0.067631505,190.35405,124.18682,45.857227,62.99136,129.1586,17.134132,0.44444445,0.80000001,4.9330001,-4.9330001,0.29333064,0.19825664,0.52606547,0.44673133,0.21670404,0.47393453,0.55326867,0.25723049,133.27628,113.17733,54.900974,120.06914,140.16808,65.168167,5,0,2,0.29333064,0.19825664,1,0.87879997,49.302185,71.441223,10.193884,0,27.047791,1.5507339,3.5006065,35.286369,18.868406,75.231407,6.7993102,72.033905,0,19.561485,10.239323,52.058933,54.154774,5.2587838,79.115402,101.29,0.52150291,5.2479277,2.8772831,8.0574636,253.34541,315.72272,45.583443,0,0,31.500273,124.02832,34.245701,77.083717,289.74301,567,30,96,0.15294942,0,0.10332416,0,0,0,0,0,0,0,0,0.2562736,1,positive
440,O1[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1n1c2nc(nc(N)c2nc1)-n1ncc(c1)C(=O)NC,Regadenoson,Source Mulliner_Liew_Chen,51.212273,0,0,3,5,9,0,14,0,46,5,14,28,9,84.812202,1.8437434,0,0,15,0,0,18,0,8,5,0,0,1.4424801,-2.5108838,-0.60144091,0.74067771,2.7700152,-2.7103453,-0.62384027,0.58071119,2.6370983,-2.3198571,-0.44182685,0.83541179,2.957972,30.471725,4,0.12903225,15,49,1,31,4,5,0.16129032,33,0,19.999271,14.667328,8.748559,9.6019297,13.439091,8.3386698,2.7355986,3.2247448,4,0,0.85961038,14,0,-0.8396399,-0.45887631,0.15356432,2.6702504,-1.3347671,-0.52554721,0.054200001,2.6306856,-0.5261153,-0.23835474,0.23396242,2.9104862,21.240376,8.6257086,3.8797061,15.545678,6.2345119,2.7792578,3.4614184,13,6,0,2,-2.63288,-1.86446,9.3125772,1,1,20,0,4,5,2,7.6479998,-7.6469998,3.6969261,-3.6969261,0.068921164,0.10613315,52.780762,68.028839,75.345238,29.205517,30.972517,28.631105,0,0,0,0,20.786192,5.6825762,20.21804,25.943268,0.68834072,0.20310761,0.14497972,0.31165928,0.7968924,0.16667958,246.14655,72.630074,51.843884,111.44751,284.96399,59.603622,0.5,1,7.6479998,-7.6469998,0.09361925,0.11769322,0.28682405,0.25611311,0.24993701,0.71317595,0.74388689,0.46323892,102.56657,91.584534,89.375992,255.02748,266.00952,165.65149,7,0,4,0.09361925,0.11769322,1,-2.3392,127.06361,75.954041,30.405836,20.926258,27.047791,32.897186,0,56.972782,6.0398216,2.3279202,9.3367996,34.862103,146.85094,18.01075,28.631344,8.0864592,84.111427,26.185041,32.897186,186.46001,0.39893496,5.9541965,3.5057654,9.3250713,357.59406,454.1127,42.539444,0,0,23.425066,130.84059,88.752281,106.66528,390.35999,2028,48,154,0.060983311,0,0.2543149,0,0.1,0,0,0,0,0,0,0.41529822,0,negative
441,O(C)c1c(OC)cc(cc1OC)\C=C\C(O[C@@H]1C[C@H]2[C@H](C[C@H]3N(CCc4c5c([nH]c34)cc(OC)cc5)C2)[C@H](C(OC)=O)[C@H]1OC)=O,Rescinnamine,Source Mulliner_Liew,99.023308,0,0,3,4,8,0,15,0,88,1,9,46,33,131.89842,1.4988457,0,0,35,0,0,42,0,2,9,0,0,1.1070268,-2.8981166,-0.54423082,0.47576737,2.8961279,-2.9232273,-0.4943701,0.55802017,2.8919988,-2.6560783,-0.34017557,0.67705953,3.1297143,63.882694,9,0.17647059,16,93,3,51,4,11,0.21568628,74,0,32.534439,27.162535,22.541088,24.300236,22.328293,15.553438,9.6088963,11.698639,6,0,0.74717194,22,0,-0.85639787,-0.42163479,-0.049912483,3.2447042,-0.93145835,-0.30092323,0.076978743,3.2773855,-0.52766114,-0.19629145,0.12516728,3.4832556,35.813148,15.909423,7.2712026,29.473764,13.033883,5.9382391,8.3512516,11,1,0,2,4.3252201,-5.9275999,17.125362,0,1,32,0,6,10,4,6.546,-6.5510001,3.8759792,-3.8759792,0.074028745,0.097112074,259.68317,140.84514,25.375559,8.6190128,0,29.416998,0,104.05045,0,0,0,0,27.133842,17.663183,0.87889105,0.24290232,0.073103704,0.12110893,0.75709766,0.048005231,538.5733,148.84747,44.797024,74.214027,463.93988,29.416998,0.5,1,6.546,-6.5510001,0.10785212,0.12364525,0.5451569,0.2383406,0.083813228,0.45484313,0.76165938,0.37102988,334.06525,146.05211,51.359684,278.72211,466.73523,227.36243,11,0,6,0.10785212,0.12364525,0.65217394,4.6661701,43.99955,18.615242,110.44692,36.879158,22.360285,231.17162,0,110.57621,59.361965,20.973713,17.050871,80.724098,47.123867,30.017918,47.020878,4.7171016,162.46432,70.013268,212.30321,117.78,0.2787188,6.6724253,4.1505222,10.748399,612.78735,849.50458,39.652622,0,0,5.6825762,496.73553,34.424511,45.335197,634.72601,8298,87,250,0.48096853,0,0.91635734,1,0.6,1,4,1,4,1,4,9.9973259,0,negative
442,Oc1cc(O)ccc1,Resorcinol,Source Liew,16.164759,1,1,0,0,2,0,6,0,14,2,4,8,6,20.283419,1.4488156,0,0,6,0,0,6,0,0,2,0,0,2.3050578,-2.1693695,-0.87551117,0.8761124,2.1322494,-1.9700719,-0.81139475,0.84904242,2.3790448,-1.8555076,-0.69520259,1.0306195,2.4450631,6.5592418,0,0,6,14,0,8,1,0,0,8,0,5.9831276,4.2038283,3.309401,3.9831276,3.7876937,2.2685809,1.8213673,2.6329932,0,0,0.75463432,4,0,-0.76506907,-0.49931419,0.2158127,1.8941683,-0.76453787,-0.35057425,0.17057143,2.1126347,-0.43065318,-0.27356306,0.3212254,2.1847968,6.125,2.52,1.8,4.3645353,1.6948504,1.1498824,0.9246543,2,2,1,0,1.327,-0.66097999,3.030412,0,1,6,1,1,0,0,1.664,-1.664,0.84212607,-0.84212607,0.25805473,0.42719254,0,33.978584,0,0,20.648346,0,0,36.764713,12.254904,0,0,0,0,15.535081,0.69640094,0.54164976,0.13034795,0.30359903,0.45835027,0.17325108,82.998199,64.554695,15.535081,36.183426,54.626926,20.648346,0.25,0.33333334,1.664,-1.664,0.27043268,0.31971154,0.69640094,0.54164976,0.13034795,0.30359903,0.45835027,0.17325108,82.998199,64.554695,15.535081,36.183426,54.626926,20.648346,3,0,1,0.27043268,0.31971154,1,1.0978,50.770454,0,0,0,0,0,0,70.572739,0,10.486856,2.97716,0,50.770454,0,10.486856,0,70.572739,0,0,40.459999,0.8112781,4,1.892153,5.6637831,119.18163,145.91438,0,0,0,0,80.151016,0,27.133842,110.112,61,7,36,0.28663278,0,0.0013641518,0,0,0,0,0,0,0,0,0.28799692,1,positive
443,O1c2c3c4c(c(O)c2C)C(=O)C(NC(=O)/C(=C\C=C/[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@H](C)[C@H](OC(=O)C)[C@H](C)[C@@H](OC)\C=C/O[C@]1(C)C3=O)/C)=C1NC2(N=C14)CCN(CC2)CC(C)C,Rifabutin,Source Liew,135.52316,0,0,4,6,12,0,6,0,123,5,17,61,39,184.63152,1.5010692,0,0,46,0,0,62,0,4,11,0,0,1.3381522,-2.7988369,-0.45263657,0.51899707,2.788667,-2.8664224,-0.4068445,0.52944171,2.7514088,-2.5531607,-0.32737067,0.66856265,3.0210364,83.894836,4,0.060606062,6,128,9,66,4,5,0.075757578,113,0,44.87722,37.120491,30.618437,32.350124,28.645098,21.252382,15.368132,17.491594,9,0,0.73923397,21,0,-0.85706717,-0.39370251,0.039666101,3.3241477,-1.1370552,-0.30168155,0.028485335,3.3316424,-0.53390414,-0.19274841,0.15778306,3.5662079,50.413223,20.474463,10.297959,41.783375,16.914236,8.487896,11.585801,15,5,0,2,6.184,-7.8046398,22.637396,1,1,43,0,5,20,5,10.01,-10.013,5.3773766,-5.3773766,0.048223216,0.072727844,300.39517,105.53757,15.318564,8.6190128,48.9981,27.65803,0,85.900566,149.25078,0,0,0,60.087151,33.454536,0.79622382,0.39354089,0.11199653,0.20377615,0.60645908,0.091779627,665.02167,328.69302,93.541687,170.19781,506.52646,76.656128,0.42857143,0.75,10.01,-10.013,0.065834165,0.086787179,0.6374132,0.19813147,0.14134188,0.3625868,0.80186856,0.2212449,532.37994,165.48326,118.0515,302.83954,669.73621,184.78806,12,1,6,0.065834165,0.086787179,0.59016395,4.6157198,123.17707,30.26053,106.59869,55.318733,82.520714,60.868469,0,90.273773,37.736813,343.74701,22.676479,128.44853,107.06541,58.075481,57.802822,0,128.01059,82.454948,368.64401,205.55,0.22114268,7.044394,4.0524049,11.629639,835.21948,1145.8064,67.461525,0,0,11.365152,593.7865,54.886921,119.52744,847.01898,15031,121,334,0.01305343,0,0.96724963,1,0.9,1,4,1,4,1,4,9.8803034,1,positive
