Index,mol,P (DILI=Negative),P (DILI=Positive),Prediction (DILI),True_Class_vDILIConcern,Binary_characterization,LTKBID,PubChem_CID,LabelCompoundName,ApprovalYear,DILIConcern,SeverityClass,LabelSection,AdjudicatedDILI,vDILIConcern,SMILES,URL (accessed on 1/21/2016),VER_DISP (1=LTKB-BD  2=others),apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,ABCG2_Inhib,ABCB1_Inhib,BSEP_Inhib,OATP1B1_Sum_Binary,OATP1B3_Sum_Binary,Transporter_binary_score,Transporter_Sum_float,Binary_Characterization
22,Clc1ccc(cc1)C1(O)CCN(CC1)CCCC(=O)c1ccc(F)cc1,0.56999999,0.43000001,Negative,Positive,1,LT00405,3559,haloperidol,1967,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,Clc1ccc(cc1)C1(O)CCN(CC1)CCCC(=O)c1ccc(F)cc1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=913fdc2f-36eb-47e1-aaee-7bfb542d3ed3,1,58.404034,0,0,2,3,2,0,12,1,50,1,3,26,22,77.915047,1.5583009,0,0,21,1,1,24,0,1,2,0,0,1.3265237,-2.8132601,-0.62045598,0.69841123,2.8132906,-3.4981294,-0.53807992,0.80591482,2.7490139,-2.6101422,-0.49179289,0.85431087,3.0116215,30.137968,6,0.21428572,12,52,1,28,5,6,0.21428572,39,0,18.570704,15.435869,12.568549,13.993353,12.460146,9.4477148,7.2033944,9.0033503,0,0,0.75316024,17,1,-0.88364589,-0.38788813,0.08293552,2.8710332,-2.2596762,-0.26386139,0.17833121,2.8480804,-0.6299141,-0.21605732,0.19305076,3.0697694,20.727041,9.4674559,5.75,17.338472,7.8599076,4.7478652,5.2414923,3,2,1,0,4.598,-4.7939901,10.408354,0,1,18,1,3,8,0,0,0,2.6608386,-1.6608387,0.13093968,0.23093978,75.656624,99.292381,9.0208454,8.458519,10.324173,0,8.6190128,75.737961,54.091755,0,0,11.908636,13.566921,7.7675405,0.8606301,0.43550611,0.0887798,0.13936992,0.56449389,0.05059012,322.25809,163.07281,33.243095,52.186283,211.37155,18.943186,0.47058824,0.8888889,0,0,0,0,1,0,0,0,1,0,374.44437,0,0,0,374.44437,0,9,1,3,0,0,1,3.3199999,28.509541,5.6876111,9.1210184,55.318733,30.233366,0,3.5006065,141.14548,75.473625,54.108757,10.0228,26.98653,40.345341,9.1210184,9.8717566,0,216.61909,61.006344,39.148643,41.740002,0.41210872,5.8073549,3.8023999,9.0479355,374.44437,500.39682,13.566921,0,0,0,310.04871,8.458519,27.133842,376.879,2035,39,134,0.25422865,0.65741795,0.30000001,0,0,0,0.3407383142042,1
23,O1[C@H](/C(=C/[C@H]2C[C@@H](OC)[C@H](O)CC2)/C)[C@H](C)[C@@H](O)CC(=O)[C@H](\C=C(/C[C@@H](C[C@H](OC)[C@H]2O[C@](O)([C@@H](C[C@@H]2OC)C)C(=O)C(=O)N2[C@@H](CCCC2)C1=O)C)\C)CC=C,0.079999998,0.92000002,Positive,Positive,1,LT00448,439492,tacrolimus,1994,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,O1[C@H](C(=C[C@H]2C[C@@H](OC)[C@H](O)CC2)C)[C@H](C)[C@@H](O)CC(=O)[C@@H](C=C(C[C@@H](C[C@H](OC)[C@H]2O[C@](O)([C@@H](C[C@@H]2OC)C)C(=O)C(=O)N2[C@@H](CCCC2)C1=O)C)C)CC=C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=93d03943-0655-44f6-b494-57bd1e336a34,1,134.17271,0,0,3,5,11,0,0,0,126,3,14,57,39,174.41454,1.3842424,0,0,44,0,0,69,0,1,12,0,0,1.7103463,-2.7902093,-0.47550935,0.51924145,2.8292644,-2.8811934,-0.42368194,0.42893934,2.8028491,-2.5703771,-0.34521177,0.6147964,3.0377088,90.82328,7,0.11666667,0,129,7,60,4,7,0.11666667,122,0,42.18914,35.393082,29.929993,31.076258,26.983057,20.886057,15.720017,17.019678,14,14,0.71982431,19,0,-0.82371378,-0.37677863,0.048212972,3.4193258,-0.98279423,-0.30315867,-0.008580978,3.420964,-0.53534335,-0.20596427,0.13635814,3.6353018,49.653332,22.904272,12.565097,44.182018,20.33662,11.139701,15.763385,13,3,0,2,4.572,-6.4347701,21.577118,0,1,38,0,3,25,4,0,0,5.407846,-5.407846,0.054771904,0.072303794,284.5636,123.26807,16.509409,0,32.081062,36.11655,0,126.71703,95.216286,22.301268,0,0,54.267685,35.8214,0.80856949,0.40432808,0.10895294,0.19143052,0.59567189,0.082477584,668.57562,334.32367,90.089088,158.2867,492.53867,68.197609,0.42105263,0.72727275,0,0,0,0,1,0,0,0,1,0,826.86237,0,0,0,826.86237,0,11,1,4,0,0,0.21052632,4.6389999,76.155678,27.503784,199.71082,18.439579,22.05398,112.52275,0,52.929554,207.55246,198.73087,21.259239,150.4483,79.279991,22.05398,55.633663,0,260.48203,42.819046,304.88248,178.36,0.22805569,6.9068904,3.9525137,11.446915,826.86237,1116.9822,64.282707,0,0,0,606.41339,48.18737,104.98347,804.03101,12629,105,292,0.64778852,0.92658138,0.69999999,4,3,0,0.098261934705,1
24,Oc1ccc(cc1)CC(NC(=O)C(NC(=O)C(NC(=O)C(Cc1[nH]cnc1)CC(=O)C1NC(=O)CC1)CCc1ccccc1NC=C)CO)C(=O)NC(CC=1c2c(CC=1)cccc2)C(=O)NC(CC(C)C)C(=O)NC(C(=O)CN1CCCC1C(=O)NCC(=O)N)CCCNC(N)=N,0.49000001,0.50999999,Positive,Positive,1,LT00460,25077179,triptorelin pamoate,2000,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,Oc1ccc(cc1)CC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO)C(=O)NC(Cc1c2c([nH]c1)cccc2)C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a2f71c34-4493-4d58-9c23-f8543babe95f,2,209.05095,0,0,3,5,15,0,23,4,189,14,29,97,55,303.04294,1.6034018,0,0,68,0,0,92,0,16,13,0,0,1.1067771,-2.6899743,-0.58333015,0.61749732,2.8337736,-3.4779084,-0.55321807,0.64764065,2.6923828,-2.456682,-0.42344993,0.72700524,3.0206871,119.03304,39,0.37864077,23,195,14,103,9,47,0.45631069,158,0,70.131874,54.717667,41.153244,45.069244,46.474915,32.763992,21.545403,25.609257,9,9,0.75013334,33,2,-0.8638615,-0.39529893,0.089516588,3.3362064,-2.2590034,-0.37108988,0.14164717,3.2595243,-0.63260835,-0.23761703,0.18880017,3.5654731,84.26355,44.204082,28.342278,62.288925,32.567493,20.833477,20.913343,29,20,0,3,-0.405,-11.0728,36.227871,0,1,39,0,7,41,5,0,0,12.222224,-10.222224,0.028583277,0.038395021,244.60811,227.00798,54.602684,106.41362,132.70311,56.044598,24.300587,125.46252,182.34566,0,0,5.6825762,162.81215,23.418219,0.69900352,0.37142891,0.14264359,0.30099651,0.62857109,0.15835291,940.44055,499.72113,191.91295,404.96124,845.68073,213.04829,0.4848485,0.94117647,0,0,0,0,1,0,0,0,1,0,1345.4019,0,0,0,1345.4019,0,17,1,7,0,0,0.59793812,-3.41892,313.45786,95.399651,311.12567,94.68457,24.320639,75.473625,0,283.7612,188.68405,106.753,35.711521,265.6087,99.227951,187.70387,52.598225,89.747452,544.73334,155.28793,98.752823,459.28,0.15194631,7.6865005,4.7768688,12.963019,1345.4019,1788.4592,149.23613,0,41.167557,110.05323,749.82404,173.93491,297.78836,1341.583,61419,144,486,0.37900874,0.98527694,0.60000002,3,3,0,0.8666925504800003,1
25,Clc1cc2c(-n3c(nnc3C)CN=C2c2ccccc2)cc1,0.73000002,0.27000001,Negative,Positive,1,LT00501,2118,alprazolam,1981,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,Clc1cc2c(-n3c(nnc3C)CN=C2c2ccccc2)cc1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f0bfdd42-caa1-402d-b040-1ac6082ea10a,2,45.168308,0,0,2,2,3,0,17,0,35,0,3,22,15,53.93232,1.5409235,0,0,17,1,0,13,0,4,0,0,0,1.6001269,-2.2637928,-0.61782914,0.62759274,2.3725679,-2.1942933,-0.49650812,0.76532167,2.4539328,-1.9802769,-0.46058318,0.83761948,2.6753638,19.251692,1,0.039999999,17,38,1,25,2,1,0.039999999,20,0,15.104083,12.748656,9.8259087,11.405413,10.737184,7.4270864,5.0022707,6.9350882,0,0,0.77270257,9,0,-0.79807508,-0.38278958,0.046107363,2.5604134,-0.86626387,-0.28017744,0.15515132,2.6643376,-0.48244363,-0.20281337,0.20552821,2.8709671,15.5232,6.4814816,2.9219532,11.242508,4.6158576,2.0556045,2.3588097,4,0,1,0,4,-4.5496302,8.717248,0,1,22,1,4,1,0,0,0,1.3083251,-1.3083251,0.12187711,0.21483958,21.732985,56.052963,24.382887,11.190562,0,0,0,55.51239,90.856468,18.842079,0,0,5.6825762,0,0.98000872,0.60120231,0.019991267,0.019991267,0.39879766,0,278.57034,170.89351,5.6825762,5.6825762,113.3594,0,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,284.2529,0,0,0,284.2529,0,5,0,4,0,0,1,3.8465199,0,37.981853,0,0,11.02699,16.78553,3.5006065,143.90222,0,90.914238,8.7096004,0,52.010635,0,14.527596,2.7567475,159.58505,2.7567475,72.474655,43.07,0.47938794,5.643856,2.9352038,8.6676722,284.2529,399.60004,24.524654,0,0,0,221.39424,29.080677,24.524654,308.772,926,40,122,0.45631579,0.50982994,0.69999999,0,0,1,0.5516668025516291,1
26,O(C(=O)C1(N(C(=O)CC)c2ccccc2)CCN(CC1)CCC(OC)=O)C,0.44,0.56,Positive,Positive,1,LT00987,60815,remifentanil,1996,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,O(C(=O)C1(N(C(=O)CC)c2ccccc2)CCN(CC1)CCC(OC)=O)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dbc63b6e-f8c5-4fd0-8ec3-4f5e19125313,2,60.746998,0,0,1,2,3,0,6,1,56,0,3,27,17,84.282227,1.5050397,0,0,20,0,0,29,0,2,5,0,0,2.1448035,-2.811069,-0.47537106,0.50193202,2.8423657,-3.5032189,-0.46387619,0.46838152,2.66241,-2.6088922,-0.3473922,0.63272035,3.0438581,41.709003,8,0.2857143,6,57,3,28,4,10,0.35714287,48,0,19.863596,16.324953,13.336499,14.294683,12.978729,9.3506021,5.7820039,6.8358817,0,0,0.72375458,13,1,-0.88240379,-0.40824232,0.017265862,2.9930673,-2.2597008,-0.28340313,0.095108785,2.9089413,-0.62974733,-0.20180815,0.12844501,3.1989856,23.280613,11.253463,5.7577853,18.709242,8.9629698,4.5553761,6.2107544,7,1,1,0,2.0910001,-2.81425,10.377585,0,1,12,1,2,9,0,0,0,3.3818836,-2.3818836,0.10302488,0.14125761,129.71805,120.78985,0,0,12.949531,29.416998,8.6190128,24.509808,55.51239,0,0,0,40.700764,5.0075121,0.77366948,0.29429641,0.10698903,0.22633053,0.70570356,0.1193415,330.53009,125.73047,45.708275,96.693817,301.49344,50.985542,0.46153846,0.85714287,0,0,0,0,1,0,0,0,1,0,427.22391,0,0,0,427.22391,0,7,0,2,0,0,1,0.58319998,6.2486277,20.749712,93.586426,55.318733,0,70.767738,0,88.215919,75.473625,36.082764,10.03967,96.710739,0,3.1243138,0,2.7567475,163.68954,76.068443,104.09375,77.349998,0.39086518,5.8073549,3.4082828,9.2359428,427.22391,521.53174,40.700764,0,0,0,310.59982,47.374043,40.700764,377.461,1822,45,132,0.075362384,0.26361185,0.40000001,0,0,1,1.202432706952,1
27,s1cc(nc1N)/C(=N/OC)/C(=O)N[C@@H]1[C@@H]2SCC(COC(=O)C)=C(N2C1=O)C(O)=O,0.67000002,0.33000001,Negative,Positive,1,LT01177,456256,cefotaxime,1981,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,s1cc(nc1N)C(=NOC)C(=O)N[C@H]1[C@H]2SCC(COC(=O)C)=C(N2C1=O)C(O)=O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ed23b6bc-32c7-4c50-a53d-313ae78e5623,2,55.742687,0,0,2,4,5,2,5,0,46,2,7,30,12,92.822723,2.0178852,0,0,16,0,0,16,0,5,7,0,2,1.6234859,-2.6898382,-0.54311901,0.49557418,2.7292969,-2.8954043,-0.53122306,0.47023088,2.610491,-2.3997068,-0.25964531,0.73243976,3.0164087,33.973312,7,0.21875,5,48,6,32,3,9,0.28125,37,0,21.999271,17.372482,9.6462641,10.472174,14.23929,10.318228,3.1177905,3.8020952,2,2,0.92213321,15,-1,-0.83002138,-0.51458615,-0.00057985395,2.5727022,-1.4899685,-0.42828634,0.090675279,2.5156002,-0.52906263,-0.20260821,0.29255372,2.8675535,24.638672,10.744802,5.5067639,20.307953,8.7938976,4.4844303,5.9528689,12,3,1,1,-0.52399999,-3.9247301,10.659714,1,1,15,0,3,7,2,0,0,2.969717,-3.969717,0.092713967,0.13681555,50.751984,115.34627,25.506008,35.079182,0,40.607563,0,2.2085397,14.230966,30.64588,0,5.6825762,53.254242,29.774488,0.67917931,0.33689117,0.22007942,0.32082069,0.66310883,0.10074126,273.76883,135.79669,88.711304,129.31886,267.29099,40.607563,0.46666667,0.875,0,0,0,0,1,0,0,0,1,0,403.08768,0,0,0,403.08768,0,8,1,3,0,0,1,-1.9572001,93.591278,42.393631,123.99661,38.159824,2.7567475,60.726051,0,15.81601,0,97.32399,10.37621,160.35086,39.309704,18.01075,15.028167,0.50074643,48.7132,60.643612,132.20711,176.34,0.37005648,6,3.6624897,9.5229187,403.08768,492.83987,84.402443,27.133842,0,23.425066,193.1985,83.588348,107.82751,454.46399,2584,46,156,0.011654991,0.32908332,0,0,0,1,0.85130307031833,1
28,S1[C@H]2N(C(C(O)=O)=C(C1)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,0.69999999,0.30000001,Negative,Positive,1,LT01189,27447,cephalexin,1971,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,S1[C@H]2N(C(C(O)=O)=C(C1)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cab0d668-f4a4-4848-ba93-fa2c2246096c,2,48.903481,0,0,1,3,2,2,6,1,41,1,3,24,14,73.417877,1.7906799,0,0,16,0,0,17,0,3,4,0,1,1.5845311,-2.6951921,-0.5535574,0.52747905,2.7341213,-3.2418957,-0.51346201,0.54448593,2.6244173,-2.4090631,-0.36075023,0.70078915,3.017627,26.01652,4,0.15384616,6,43,4,26,3,5,0.1923077,33,0,17.430357,13.837967,9.3259087,10.438793,11.413591,8.5055609,4.4635959,5.8020949,3,3,0.82269889,12,0,-0.84040195,-0.3988584,0.11107115,2.6206827,-2.226253,-0.38146991,0.11054578,2.5671465,-0.64105064,-0.21075779,0.18350804,2.8810296,18.781065,7.7091413,3.6183696,14.8009,6.0081463,2.7974603,3.7052486,7,4,1,0,0.39899999,-3.27946,8.9866438,0,1,15,1,3,4,0,0,0,3.0968299,-3.0968299,0.11166462,0.1753794,34.212845,51.265751,12.533369,11.764974,0,25.899061,25.857038,20.956217,61.274521,19.760618,0,0,27.133842,28.376167,0.66377884,0.49368143,0.1739938,0.33622113,0.50631857,0.16222733,211.7683,157.50136,55.51001,107.26611,161.53304,51.7561,0.5,1,0,0,0,0,1,0,0,0,1,0,319.03439,0,0,0,319.03439,0,6,0,3,0,0,1,-1.5111001,93.591278,15.105889,77.915749,17.233564,3.185575,5.9423227,0,88.215919,3.9819686,65.545555,8.4912796,114.26999,3.1243138,50.90794,19.438963,0,88.215919,29.215139,65.545555,117.18,0.43739632,5.7004399,3.3900189,8.8684988,319.03439,422.2626,54.267685,27.133842,17.742489,23.425066,179.18744,40.607563,77.692749,347.39499,1383,39,128,0.013692302,0.084569633,0,0,0,1,0.8390585854650001,1
29,ClC=1C=CC2=N\C(=N\C)\CN(O)C(=C2C=1)c1ccccc1,0.41,0.58999997,Positive,Positive,1,LT01198,2712,chlordiazepoxide,1960,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,ClC=1C=CC2=NC(=NC)CN(O)C(=C2C=1)c1ccccc1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e3ff8641-ae8a-4016-acb1-cb1b7890f5ed,2,43.777103,0,0,1,1,3,0,6,0,35,1,4,21,15,57.467049,1.6419157,0,0,16,1,0,14,0,3,1,0,0,1.8239321,-2.3865352,-0.61698681,0.65731782,2.4214251,-2.4930503,-0.49493057,0.83048409,2.4362521,-2.1027966,-0.45839673,0.88212389,2.733947,19.024899,1,0.043478262,6,37,5,23,2,1,0.043478262,26,0,14.819627,12.248656,9.3259087,10.828063,10.185872,6.9270864,4.5022707,6.357738,0,0,0.77294004,9,0,-0.80973935,-0.42085287,0.072500922,2.5175779,-0.9371236,-0.26276454,0.18076725,2.5988877,-0.50353241,-0.20274973,0.2505509,2.8366342,15.879017,7.0507812,3.5045972,11.878569,5.1916466,2.5492311,2.9366348,4,1,1,0,2.434,-4.5580802,8.3159847,1,1,19,1,3,1,0,0,0,1.447051,-1.447051,0.16379048,0.21223354,42.763134,69.245285,11.190562,0,10.324173,0,0,38.973251,90.856468,0,0,5.6825762,5.6825762,11.166143,0.8850742,0.53294665,0.078812674,0.1149258,0.46705332,0.036113132,253.0287,152.36101,22.531296,32.855469,133.52316,10.324173,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,285.88416,0,0,0,285.88416,0,5,0,3,0,0,1,3.2643001,0,10.823314,25.604103,18.439579,3.185575,73.154427,0,143.90222,0,39.148643,8.6566801,0,39.309704,25.604103,9.8717566,2.7567475,141.14548,23.524246,72.04583,48.189999,0.48250595,5.523562,2.8882546,8.5374813,285.88416,387.81921,11.365152,0,0,0,225.88525,17.890114,28.330677,299.76099,828,37,110,0.29580641,0.47088614,0.1,0,0,0,0.3159081749614001,1
30,P(O)(O)(=O)[C@H]1O[C@H]1C,0.58999997,0.41,Negative,Positive,1,LT01398,446987,fosfomycin,1996,Less-DILI-Concern,6,Adverse reactions,Yes,vLess-DILI-Concern,P(O)(O)(=O)[C@H]1O[C@H]1C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ad155d62-9b49-4a50-a2ae-d3aad8155936,2,15.451965,1,1,0,0,1,3,0,0,13,0,1,8,3,23.741188,1.8262453,0,0,3,0,0,5,0,0,4,1,0,2.3899639,-2.4750664,-0.69819826,0.02572141,2.7355015,-2.467375,-1.189,0.123,2.7162509,-2.0881784,-2.7755576e-017,0.106634,2.9937041,17.736034,1,0.125,0,13,0,8,3,1,0.125,13,0,6.3618073,5.1293344,2.1547005,2.1547005,3.5158553,3.7998524,0.91068363,0.91068363,2,2,1.0611362,4,-2,-1.0336426,-0.63514656,-0.1342786,1.917007,-1.349,-0.68174231,-0.037,1.9758325,-0.49570802,-0.16,-0.054299999,2.1990387,6.125,1.4911243,0.91836733,7.5980849,1.9117185,1.2113749,1.8156749,4,0,1,0,-1.307,0.43652001,2.7270834,1,1,3,1,1,1,0,0,0,0.56212306,-2.5621231,0.29387033,0.2725077,12.796158,4.2653861,9.1703148,6.4254417,0,0,0,18.747677,0,13.666999,0,0,0,49.691166,0.56701112,0.71543735,0.43298888,0.43298888,0.28456262,0,65.071976,82.105843,49.691166,49.691166,32.657299,0,0.5,1,0,0,0,0,1,0,0,0,1,0,114.76315,0,0,0,114.76315,0,2,1,1,0,0,0,-2.4252999,67.301292,0,21.108021,0,0,0,0,0,0,47.107174,2.1255,78.301186,0,0,10.108133,0,0,0,47.107174,63.740002,0.8112781,4,1.892153,5.6637831,114.76315,128.20502,49.691166,47.187408,0,0,47.846001,13.666999,49.691166,136.043,61,7,42,0.55092347,0.00074333587,0,0,0,1,0.9495826587080002,1
31,FC(F)(F)c1c2nc(cc(c2ccc1)C(O)C1NCCCC1)C(F)(F)F,0.44,0.56,Positive,Positive,1,LT01514,4046,mefloquine,1989,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,FC(F)(F)c1c2nc(cc(c2ccc1)C(O)C1NCCCC1)C(F)(F)F,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=09716a24-d7da-42b2-af29-c03a1b6670bd,2,47.59948,0,0,2,3,2,0,10,1,43,1,3,26,23,76.845871,1.7871133,0,0,17,0,6,17,0,2,1,0,0,1.8653611,-2.7801654,-0.50160486,0.62621433,2.7874463,-3.4196818,-0.47898147,0.65692502,2.7300479,-2.5807784,-0.40810493,0.72968906,2.9828618,27.122519,2,0.071428575,11,45,0,28,4,4,0.14285715,34,0,19.11252,13.532093,9.7925291,10.698306,12.087354,8.1825113,5.601624,6.7852583,2,2,0.9012295,10,1,-0.86746746,-0.33719581,0.12513001,2.8234236,-2.2476563,-0.28870773,0.26019999,2.8526297,-0.63568562,-0.20075694,0.16345519,3.0313387,20.727041,7.7879934,4.54321,16.841908,6.2724204,3.6359725,4.0630589,3,3,1,0,4.2745199,-4.5071602,8.3909264,0,1,17,1,3,4,0,0,0,3.1917276,-2.1917276,0.1360517,0.17392564,36.502171,56.223503,14.750441,0,10.324173,0,35.329029,44.120975,24.509808,0,71.451813,5.6825762,0,7.7675405,0.80726886,0.50065774,0.043859739,0.19273113,0.49934229,0.14887139,247.55872,153.53271,13.450116,59.103317,153.12932,45.653202,0.5,1,0,0,0,0,1,0,0,0,1,0,306.66202,0,0,0,306.66202,0,5,0,3,0,0,1,4.1402001,43.395977,16.78553,3.9819686,18.439579,9.1278973,0,15.519032,75.289841,63.073864,89.760681,8.1483202,0,149.94218,15.519032,19.578516,4.7171016,127.17796,18.439579,0,49.73,0.41210872,5.8073549,3.1172276,9.1598768,306.66202,420.89612,5.6825762,0,5.6825762,5.6825762,255.68459,0,24.932074,379.32397,1491,45,142,0.39203703,0.61039567,0.2,0,0,0,0.4716125950210001,1
32,Fc1ccc(cc1)CN/C(/O)=C\1/N=C(N(C)C(=O)C/1=O)C(NC(=O)c1oc(nn1)C)(C)C,0.38,0.62,Positive,Positive,1,LT00642,11598201,raltegravir,2007,Most-DILI-Concern,7,Warnings and precautions,Yes,vMost-DILI-Concern,Fc1ccc(cc1)CN/C(/O)=C\1/N=C(N(C)C(=O)C/1=O)C(NC(=O)c1oc(nn1)C)(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=89a5ec53-d956-4329-8004-0f40f51c88a3,2,59.702862,0,0,2,4,6,1,11,0,52,2,8,32,14,96.426323,1.8543525,0,0,20,0,1,20,0,6,5,0,0,1.6050234,-2.6096053,-0.61460966,0.39773196,2.6135597,-2.7791979,-0.53807992,0.57696289,2.5266726,-2.3403866,-0.38698083,0.69144541,2.8830147,34.755138,6,0.17647059,11,54,5,34,4,7,0.20588236,38,0,23.629028,17.724567,12.516508,13.809036,14.990909,9.4310551,4.9249206,6.2406001,0,0,0.82622606,17,-1,-0.91830754,-0.46977419,-0.022207862,2.6471171,-1.1618826,-0.37694263,0.025195537,2.6107724,-0.51212484,-0.21605732,0.18191212,2.9189196,26.602076,11.16,6.5759635,18.828453,7.8037853,4.559154,4.5916624,11,2,1,1,1.1670001,-4.7114401,11.08943,0,1,18,1,3,6,1,0,0,2.7576733,-3.7576733,0.11221589,0.12939034,101.70177,17.061544,26.910959,8.6190128,12.949531,8.458519,38.848595,96.766029,26.718348,18.842079,0,17.591211,40.700764,16.34446,0.68739498,0.50279593,0.17296457,0.31260502,0.49720407,0.13964045,296.61975,216.96289,74.636436,134.89308,214.54993,60.256645,0.47058824,0.8888889,0,0,0,0,1,0,0,0,1,0,431.51282,0,0,0,431.51282,0,9,0,3,0,0,1,1.1209199,36.0215,54.983429,99.528793,0,37.08778,61.946812,0,70.572739,0,133.37773,10.69494,123.77734,68.195969,45.142521,15.982309,0,89.012314,18.533098,132.87523,152.85001,0.35236704,6.0874629,3.7615516,9.7053919,431.51282,536.67517,78.792336,13.566921,0,11.365152,235.49586,86.90049,90.157494,443.41498,3111,52,168,0.0037873681,0.54751569,0.30000001,0,0,0,0.05122794490310001,1
